1	1	1	0	1	0	1	1	0	0	1	1	1	0	0	0	0	1	1	0	1	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	1
2	1	0	1	0	1	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	1	1	0	0	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	1	0
1	0	0	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1
0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	0	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	0	0	1	0	1	0	0
5	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	1	1	0
6	1	0	0	0	1	1	1	0	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	1	0	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	1	0	0
7	1	1	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	1	1	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1
8	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	1
9	1	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0
10	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	1	0	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	0	1	0	1	0	0	0	1	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	0
